x,y,z
404.4176080127691,398.7436006637456,a
392.4401929470401,364.6322282122477,a
408.3292613491363,354.1710454500186,a
379.6349998645385,353.37744086592943,a
392.5322262412423,359.9559287652029,a
325.52078508192113,397.66149209086586,a
320.5263809316271,336.41793298713526,a
317.43712622307055,301.6741824004479,a
303.67371719322756,283.1835622115599,a
252.96786728802894,277.63183518667785,a
230.56011303329984,205.49965983742396,a
256.4729738781287,216.71177945044718,a
220.99274295428194,208.2123792930193,a
239.5741683725121,208.01858664128258,a
306.28215507621775,176.56890551113588,a
314.3261929512638,183.30271304748976,a
330.9929077376306,173.36908269116452,a
453.25390217262543,201.05100499625956,a
491.11807498189853,235.8586573458059,a
561.0469954616759,306.7634264856839,a
528.2441021383975,366.4161690973641,a
519.7495107027372,413.10648230991626,a
509.12218907636657,364.95092151102557,a
518.2869444919093,382.7298407669515,a
450.71562298330326,368.8692545332158,a
410.1084863546195,364.3646982196269,a
328.4515848350203,261.34115979917743,a
302.1971641300206,275.5109681741762,a
288.1550083948788,272.27780151576053,a
265.85998999810727,211.9451774742367,a
315.6376993664992,220.89206817694077,a
228.26650244052303,163.09136133055728,a
345.8111167976303,193.48213175123396,a
411.0723764814558,213.00796801435644,a
410.4562684399329,224.92088025996378,a
458.21301541013804,271.81970690845446,a
417.58673603871836,321.3043858038881,a
472.0571086838235,319.15011862904163,a
412.92303733526813,386.5421834525358,a
312.4401420361857,352.6316232347492,a
339.41168876588637,285.99656501039465,a
358.6136087191881,283.11432008776717,a
297.9998853952256,318.0646056240961,a
299.15979500666316,342.3335584462802,a
281.4851960431397,279.5101197504578,a
298.9567614019773,326.04148764011074,a
324.9215250390599,319.7940792210952,a
317.8688609281984,289.70331387253515,a
343.19352369266306,312.7541303112158,a
341.0519733197156,373.042140870317,a
344.60314805369563,367.8433965551931,a
316.8412823189737,281.1959016808022,a
327.4904295397175,309.58850592146814,a
312.2789065123694,336.43893945875897,a
321.2130813982051,321.32622253568354,a
352.5590770251935,338.9778133381608,a
331.1976449269212,323.7503408026736,a
360.9210928691534,306.8280906139279,a
391.16456405572256,303.2339368383432,a
367.7112558305371,266.7704398180393,a
355.2898030522884,294.2532402001808,a
399.26563159919067,226.97273055296193,a
324.0075837896104,275.2653561497469,a
336.66242060455806,218.7774788352521,a
387.60661179935437,257.01110627964124,a
387.47877798307127,274.25705000247626,a
398.20551752793773,313.1985208022974,a
391.8196688450251,308.74684781541356,a
431.34793376505365,273.20609617383866,a
454.4795897154414,274.5424868470801,a
406.92747232533554,332.5487233183131,a
412.6873370980504,289.7796392838276,a
411.9683338670892,282.68448778429024,a
592.9537464737535,224.86488463775152,b
607.5492153348083,210.76512477266283,b
578.5443231035879,238.4771883003914,b
566.4377276141958,157.74505776097203,b
491.07097266320426,121.17922061757906,b
480.7906339345608,139.8742436463279,b
492.14005276398757,103.0627047979142,b
467.1531393172352,93.48077223435575,b
452.54798027976625,61.33731377957929,b
545.2445460915976,123.7946280162347,b
528.133251258376,132.70107858955043,b
590.830259269193,131.47864838765133,b
638.3121756681811,144.22997612807671,b
646.4491123090596,140.1321073339421,b
609.9922928681007,156.8181177889952,b
650.0739666549515,198.11427143152855,b
694.2425044153513,168.44823322348105,b
655.6951372181893,173.54116705328408,b
631.8748480731393,158.64457714053708,b
533.201426509319,145.55516128509475,b
585.3613948957842,146.3547210750683,b
496.98770724696647,56.86637196656511,b
497.9569827078593,96.17269719627762,b
500.88018023973,107.24940950635033,b
500.9081383875179,121.20254777071113,b
556.1147606238387,132.3357152061323,b
535.8604171263405,153.74273902195182,b
581.7096426194299,172.0616081682835,b
585.5315829738068,187.80637639211494,b
642.0867299531764,214.7547404799352,b
583.9487111774462,215.21051464407253,b
574.6425157747004,212.5465506414164,b
560.5000905326539,179.9524859380873,b
549.4208509605601,165.75385183528545,b
545.39078921106,179.78165422585084,b
541.1503208958786,191.2156628897837,b
540.4603887530244,204.55505878893973,b
515.8886720173591,160.43101585801304,b
520.8920889109033,161.01313907684727,b
563.1605620850131,218.84080919287766,b
613.0450562955507,177.63230592464515,b
644.1605555790208,170.1547636110675,b
598.5290788905994,204.7244117647915,b
631.7243365699459,218.25142298321788,b
597.7918786548934,209.61999382077948,b
535.9050323007779,174.47679286020917,b
527.1276179198397,160.8745538047109,b
520.0935640371446,148.130353923099,b
508.415297614096,149.64883007531068,b
523.0710947309569,147.3073347226432,b
508.2974779279776,142.36529713931895,b
505.29926081137927,133.7942478692799,b
562.7440888192418,153.86393952126508,b
553.2801863393601,127.90668532983153,b
571.6955360950957,118.77066333452723,b
592.7671682506995,167.4707083327375,b
619.4956047113703,147.28839940794336,b
624.9900027764389,141.6862398209846,b
564.518298822796,105.3153145118564,b
612.7026891603623,163.03993617207948,b
588.4309552596256,422.44725490475224,c
588.9563137690926,421.5627816962193,c
637.6757759038845,380.0012266981564,c
593.7812579791429,411.4443775437565,c
637.9360523886571,411.33655366772695,c
591.9135491067558,348.21183284600545,c
566.1171421437539,379.62481334387166,c
636.1572651902213,318.54492253177153,c
561.9562082293462,324.0059624009232,c
622.8692255909612,301.23547393044714,c
632.0319186942688,335.4325158921407,c
601.272421494859,347.13993321590806,c
631.1147142364697,348.4574715123124,c
651.9608195475021,407.8745510197668,c
676.0989861527518,363.13416563543433,c
689.9471063643357,428.5275650170222,c
648.1503694118577,377.78021533867206,c
667.3454387627672,410.9006251520727,c
666.1519428760305,436.7249806039875,c
600.745738138632,412.4875843768447,c
638.0505512694206,380.19330466839267,c
580.5002198470056,396.6607508186457,c
589.1930557293662,361.9864621897989,c
602.7191059146086,383.3258629707258,c
648.268091262682,349.5089837772781,c
